category,title,file,dept,clearance_level
售后故障案例,售后故障案例-BSL系列螺杆空压机高温报警处理,售后故障案例/售后故障案例-BSL系列螺杆空压机高温报警处理.md,售后部,2
售后故障案例,售后故障案例-BV系列真空泵抽速下降排查,售后故障案例/售后故障案例-BV系列真空泵抽速下降排查.md,售后部,2
售后故障案例,售后故障案例-空压机排气压力不足处理,售后故障案例/售后故障案例-空压机排气压力不足处理.md,售后部,2
产品技术手册节选,产品技术手册-BSL系列空压机产品概述,产品技术手册/产品技术手册-BSL系列空压机产品概述.md,*,1
产品技术手册节选,产品技术手册-BSL-75A螺杆空压机技术参数,产品技术手册/产品技术手册-BSL-75A螺杆空压机技术参数.md,技术部,3
产品技术手册节选,产品技术手册-BV-3030真空泵安装说明,产品技术手册/产品技术手册-BV-3030真空泵安装说明.md,技术部,2
工艺规范,工艺规范-螺杆转子磨削工艺要求,工艺规范/工艺规范-螺杆转子磨削工艺要求.md,生产部,4
工艺规范,工艺规范-储气罐焊接工艺规范,工艺规范/工艺规范-储气罐焊接工艺规范.md,生产部,4
工艺规范,工艺规范-空压机整机装配工艺规程,工艺规范/工艺规范-空压机整机装配工艺规程.md,生产部,3
质量制度,质量制度-成品出厂检验规范,质量制度/质量制度-成品出厂检验规范.md,质量部,3
质量制度,质量制度-不合格品控制程序,质量制度/质量制度-不合格品控制程序.md,质量部,3
质量制度,质量制度-来料检验作业指导书,质量制度/质量制度-来料检验作业指导书.md,质量部,2
设备操作维护资料,设备维护-空压机日常点检保养要点,设备操作维护/设备维护-空压机日常点检保养要点.md,设备部,2
设备操作维护资料,设备维护-数控外圆磨床操作维护规程,设备操作维护/设备维护-数控外圆磨床操作维护规程.md,生产部,3
设备操作维护资料,设备维护-真空泵定期保养计划,设备操作维护/设备维护-真空泵定期保养计划.md,设备部,2
常用业务流程,业务流程-售后工单处理流程,业务流程/业务流程-售后工单处理流程.md,售后部,1
常用业务流程,业务流程-客户投诉处理流程,业务流程/业务流程-客户投诉处理流程.md,销售部,1
常用业务流程,业务流程-备件领用与退库流程,业务流程/业务流程-备件领用与退库流程.md,生产部,1
